ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
4,Trach,393,781,-357,-319,42,4539.6219,Count,High,6/7/2022 11:48,263,0,1,One
5,Trach,891,794,141,-306,42,4539.6219,Count,High,6/7/2022 11:48,263,0,1,One
1,Trach,1348,481,598,-619,43,4648.9001,Count,High,6/7/2022 11:48,373,0,1,One
2,Trach,1337,765,587,-335,43,4648.9001,Count,High,6/7/2022 11:48,373,0,1,One
3,Trach,706,764,-44,-336,43,4648.9001,Count,High,6/7/2022 11:48,373,0,1,One
4,Trach,382,788,-368,-312,43,4648.9001,Count,High,6/7/2022 11:48,373,0,1,One
5,Trach,891,794,141,-306,43,4648.9001,Count,High,6/7/2022 11:48,373,0,1,One
1,Trach,1346,494,596,-606,44,4758.3499,Count,High,6/7/2022 11:48,482,0,1,One
2,Trach,1332,769,582,-331,44,4758.3499,Count,High,6/7/2022 11:48,482,0,1,One
3,Trach,706,764,-44,-336,44,4758.3499,Count,High,6/7/2022 11:48,482,0,1,One
4,Trach,370,796,-380,-304,44,4758.3499,Count,High,6/7/2022 11:48,482,0,1,One
5,Trach,890,794,140,-306,44,4758.3499,Count,High,6/7/2022 11:48,482,0,1,One
1,Trach,1346,508,596,-592,45,4867.725,Count,High,6/7/2022 11:48,591,0,1,One
2,Trach,1329,774,579,-326,45,4867.725,Count,High,6/7/2022 11:48,591,0,1,One
4,Trach,889,794,139,-306,45,4867.725,Count,High,6/7/2022 11:48,591,0,1,One
5,Trach,362,803,-388,-297,45,4867.725,Count,High,6/7/2022 11:48,591,0,1,One
1,Trach,1347,518,597,-582,46,4977.0385,Count,High,6/7/2022 11:48,701,0,1,One
3,Trach,1325,779,575,-321,46,4977.0385,Count,High,6/7/2022 11:48,701,0,1,One
4,Trach,890,794,140,-306,46,4977.0385,Count,High,6/7/2022 11:48,701,0,1,One
5,Trach,360,807,-390,-293,46,4977.0385,Count,High,6/7/2022 11:48,701,0,1,One
1,Trach,1348,533,598,-567,47,5086.4201,Count,High,6/7/2022 11:48,810,0,1,One
3,Trach,1320,789,570,-311,47,5086.4201,Count,High,6/7/2022 11:48,810,0,1,One
4,Trach,890,794,140,-306,47,5086.4201,Count,High,6/7/2022 11:48,810,0,1,One
5,Trach,360,805,-390,-295,47,5086.4201,Count,High,6/7/2022 11:48,810,0,1,One
1,Trach,1348,536,598,-564,48,5195.5493,Count,High,6/7/2022 11:48,919,0,1,One
2,Trach,707,765,-43,-335,48,5195.5493,Count,High,6/7/2022 11:48,919,0,1,One
3,Trach,1317,793,567,-307,48,5195.5493,Count,High,6/7/2022 11:48,919,0,1,One
4,Trach,890,793,140,-307,48,5195.5493,Count,High,6/7/2022 11:48,919,0,1,One
5,Trach,360,801,-390,-299,48,5195.5493,Count,High,6/7/2022 11:48,919,0,1,One
1,Trach,1345,544,595,-556,49,5305.0882,Count,High,6/7/2022 11:48,29,0,1,One
2,Trach,707,763,-43,-337,49,5305.0882,Count,High,6/7/2022 11:48,29,0,1,One
3,Trach,890,793,140,-307,49,5305.0882,Count,High,6/7/2022 11:48,29,0,1,One
4,Trach,1314,797,564,-303,49,5305.0882,Count,High,6/7/2022 11:48,29,0,1,One
5,Trach,351,807,-399,-293,49,5305.0882,Count,High,6/7/2022 11:48,29,0,1,One
1,Trach,1343,560,593,-540,50,5414.448,Count,High,6/7/2022 11:48,138,0,1,One
2,Trach,707,764,-43,-336,50,5414.448,Count,High,6/7/2022 11:48,138,0,1,One
3,Trach,890,793,140,-307,50,5414.448,Count,High,6/7/2022 11:48,138,0,1,One
4,Trach,1312,796,562,-304,50,5414.448,Count,High,6/7/2022 11:48,138,0,1,One
5,Trach,349,808,-401,-292,50,5414.448,Count,High,6/7/2022 11:48,138,0,1,One
1,Trach,1338,577,588,-523,51,5523.6353,Count,High,6/7/2022 11:48,247,0,1,One
2,Trach,707,764,-43,-336,51,5523.6353,Count,High,6/7/2022 11:48,247,0,1,One
3,Trach,890,793,140,-307,51,5523.6353,Count,High,6/7/2022 11:48,247,0,1,One
4,Trach,1311,795,561,-305,51,5523.6353,Count,High,6/7/2022 11:48,247,0,1,One
5,Trach,350,808,-400,-292,51,5523.6353,Count,High,6/7/2022 11:48,247,0,1,One
1,Trach,1336,592,586,-508,52,5632.9173,Count,High,6/7/2022 11:48,357,0,1,One
3,Trach,1309,793,559,-307,52,5632.9173,Count,High,6/7/2022 11:48,357,0,1,One
4,Trach,891,792,141,-308,52,5632.9173,Count,High,6/7/2022 11:48,357,0,1,One
5,Trach,350,809,-400,-291,52,5632.9173,Count,High,6/7/2022 11:48,357,0,1,One
1,Trach,1334,602,584,-498,53,5742.5117,Count,High,6/7/2022 11:48,466,0,1,One
3,Trach,1306,795,556,-305,53,5742.5117,Count,High,6/7/2022 11:48,466,0,1,One
4,Trach,890,793,140,-307,53,5742.5117,Count,High,6/7/2022 11:48,466,0,1,One
5,Trach,350,809,-400,-291,53,5742.5117,Count,High,6/7/2022 11:48,466,0,1,One
1,Trach,1338,606,588,-494,54,5851.8479,Count,High,6/7/2022 11:48,576,0,1,One
2,Trach,707,764,-43,-336,54,5851.8479,Count,High,6/7/2022 11:48,576,0,1,One
3,Trach,1306,795,556,-305,54,5851.8479,Count,High,6/7/2022 11:48,576,0,1,One
4,Trach,889,793,139,-307,54,5851.8479,Count,High,6/7/2022 11:48,576,0,1,One
5,Trach,349,808,-401,-292,54,5851.8479,Count,High,6/7/2022 11:48,576,0,1,One
1,Trach,1344,615,594,-485,55,5960.9652,Count,High,6/7/2022 11:48,685,0,1,One
2,Trach,706,764,-44,-336,55,5960.9652,Count,High,6/7/2022 11:48,685,0,1,One
3,Trach,889,793,139,-307,55,5960.9652,Count,High,6/7/2022 11:48,685,0,1,One
4,Trach,1304,794,554,-306,55,5960.9652,Count,High,6/7/2022 11:48,685,0,1,One
5,Trach,346,812,-404,-288,55,5960.9652,Count,High,6/7/2022 11:48,685,0,1,One
1,Trach,1349,623,599,-477,56,6070.5174,Count,High,6/7/2022 11:48,794,0,1,One
2,Trach,707,764,-43,-336,56,6070.5174,Count,High,6/7/2022 11:48,794,0,1,One
3,Trach,890,790,140,-310,56,6070.5174,Count,High,6/7/2022 11:48,794,0,1,One
4,Trach,1299,798,549,-302,56,6070.5174,Count,High,6/7/2022 11:48,794,0,1,One
5,Trach,347,812,-403,-288,56,6070.5174,Count,High,6/7/2022 11:48,794,0,1,One
1,Trach,1348,629,598,-471,57,6179.9234,Count,High,6/7/2022 11:48,904,0,1,One
2,Trach,706,764,-44,-336,57,6179.9234,Count,High,6/7/2022 11:48,904,0,1,One
3,Trach,884,796,134,-304,57,6179.9234,Count,High,6/7/2022 11:48,904,0,1,One
4,Trach,1296,798,546,-302,57,6179.9234,Count,High,6/7/2022 11:48,904,0,1,One
5,Trach,345,814,-405,-286,57,6179.9234,Count,High,6/7/2022 11:48,904,0,1,One
1,Trach,1355,639,605,-461,58,6289.2339,Count,High,6/7/2022 11:48,13,0,1,One
2,Trach,707,764,-43,-336,58,6289.2339,Count,High,6/7/2022 11:48,13,0,1,One
3,Trach,1296,796,546,-304,58,6289.2339,Count,High,6/7/2022 11:48,13,0,1,One
4,Trach,872,797,122,-303,58,6289.2339,Count,High,6/7/2022 11:48,13,0,1,One
5,Trach,345,807,-405,-293,58,6289.2339,Count,High,6/7/2022 11:48,13,0,1,One
1,Trach,1353,647,603,-453,59,6398.3623,Count,High,6/7/2022 11:48,122,0,1,One
2,Trach,707,764,-43,-336,59,6398.3623,Count,High,6/7/2022 11:48,122,0,1,One
3,Trach,845,794,95,-306,59,6398.3623,Count,High,6/7/2022 11:48,122,0,1,One
4,Trach,1290,797,540,-303,59,6398.3623,Count,High,6/7/2022 11:48,122,0,1,One
5,Trach,346,808,-404,-292,59,6398.3623,Count,High,6/7/2022 11:48,122,0,1,One
1,Trach,1354,652,604,-448,60,6507.9247,Count,High,6/7/2022 11:48,232,0,1,One
2,Trach,706,764,-44,-336,60,6507.9247,Count,High,6/7/2022 11:48,232,0,1,One
3,Trach,823,789,73,-311,60,6507.9247,Count,High,6/7/2022 11:48,232,0,1,One
4,Trach,1287,798,537,-302,60,6507.9247,Count,High,6/7/2022 11:48,232,0,1,One
5,Trach,344,812,-406,-288,60,6507.9247,Count,High,6/7/2022 11:48,232,0,1,One
1,Trach,1355,663,605,-437,61,6617.3285,Count,High,6/7/2022 11:48,341,0,1,One
2,Trach,706,764,-44,-336,61,6617.3285,Count,High,6/7/2022 11:48,341,0,1,One
3,Trach,790,783,40,-317,61,6617.3285,Count,High,6/7/2022 11:48,341,0,1,One
4,Trach,1286,800,536,-300,61,6617.3285,Count,High,6/7/2022 11:48,341,0,1,One
5,Trach,345,812,-405,-288,61,6617.3285,Count,High,6/7/2022 11:48,341,0,1,One
1,Trach,1352,673,602,-427,62,6726.4103,Count,High,6/7/2022 11:48,450,0,1,One
2,Trach,707,764,-43,-336,62,6726.4103,Count,High,6/7/2022 11:48,450,0,1,One
3,Trach,767,782,17,-318,62,6726.4103,Count,High,6/7/2022 11:48,450,0,1,One
4,Trach,1286,800,536,-300,62,6726.4103,Count,High,6/7/2022 11:48,450,0,1,One
